epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,3340.81,0.19967,0.20485,0.79199,0.92988,0.62232,0.76221,0.76011,0.11777,0.20561,0.75166,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3379,0.19642,0.20197,0.79276,0.92846,0.62208,0.76219,0.76032,0.11736,0.20521,0.75181,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3417.42,0.19736,0.1991,0.79142,0.92593,0.62488,0.76285,0.7606,0.11793,0.20619,0.75206,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3457.08,0.19437,0.20225,0.79211,0.92479,0.62344,0.76345,0.76129,0.11754,0.20593,0.7521,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3496.23,0.19482,0.19847,0.79251,0.92482,0.62412,0.76349,0.76153,0.11732,0.20642,0.75226,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3556.49,0.15175,0.16294,0.76837,0.92372,0.62513,0.76399,0.762,0.11699,0.20594,0.75228,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3593.58,0.14787,0.15742,0.76615,0.92593,0.62512,0.76435,0.7623,0.11688,0.20605,0.7522,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3632.11,0.14616,0.15523,0.76611,0.92309,0.62584,0.76484,0.76271,0.11633,0.20528,0.75186,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3671.51,0.14497,0.15325,0.76818,0.92265,0.62669,0.76595,0.76379,0.11608,0.20462,0.75176,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3709.07,0.14353,0.1511,0.76668,0.92153,0.62778,0.76652,0.76448,0.11581,0.20368,0.75168,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3745.94,0.14177,0.14901,0.76584,0.92294,0.62731,0.76709,0.76494,0.11563,0.20362,0.75166,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3783.01,0.14064,0.14567,0.76605,0.92425,0.62589,0.76724,0.76522,0.1155,0.20344,0.75173,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3822.02,0.13882,0.14491,0.76591,0.9242,0.62601,0.76768,0.76574,0.11561,0.20315,0.75164,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3860.76,0.13814,0.14204,0.7665,0.92409,0.62656,0.76802,0.76605,0.1155,0.2032,0.75161,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3897.95,0.1374,0.13969,0.76688,0.92449,0.62597,0.7684,0.76646,0.11547,0.20326,0.75159,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
